Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply.Â ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted,lat,long
Alameda County Library - Newark Library,37055 Newark Blvd,Newark,CA,94560,510-284-0675,aclibrary.org,Joe Stoner,Library Manager,newarklibrary@aclibrary.org,"Business, Community Anchor Institution, Government or Public Organization",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Newark Library,Newark,510-284-0675,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Newark Library,Newark,510-284-0675,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Newark Library,Newark,510-284-0675,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Newark Library,Newark,510-284-0675,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Newark Library,Newark,510-284-0675,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.53634,-122.030259
Alameda County Library - Niles Library,150 I Street,Fremont,CA,94536,510-795-2626,aclibrary.org,Elizabeth Gamell,Library Manager,fremontneighborhood@aclibrary.org,"Business, Community Anchor Institution, Government or Public Organization",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Niles Library,Fremont,510-795-2626,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",aclibrary.org,Alameda County Library - Niles Library,Fremont,510-795-2626,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",aclibrary.org,Alameda County Library - Niles Library,Fremont,510-795-2626,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",aclibrary.org,Alameda County Library - Niles Library,Fremont,510-795-2626,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",aclibrary.org,Alameda County Library - Niles Library,Fremont,510-795-2626,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.576046,-121.978146
Alameda County Library - San Lorenzo Library,395 Paseo Grande,San Lorenzo,CA,94580,510-284-0640,aclibrary.org,Rachel Sher,Library Manager,sanlorenzo@aclibrary.org,"Business, Community Anchor Institution, Government or Public Organization",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - San Lorenzo Library,San Lorenzo,510-284-0640,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - San Lorenzo Library,San Lorenzo,510-284-0640,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - San Lorenzo Library,San Lorenzo,510-284-0640,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - San Lorenzo Library,San Lorenzo,510-284-0640,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - San Lorenzo Library,San Lorenzo,510-284-0640,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.680935,-122.126091
Alameda County Library - Union City Library,34077 Alvarado-Niles Road,Union City,CA,94587,510-745-1464,aclibrary.org,Nidya Gonzalez,Library Manager,unioncitylibrary@aclibrary.org,"Business, Community Anchor Institution, Government or Public Organization",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Union City Library,Union City,510-745-1464,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 12:00 PM - 6:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Union City Library,Union City,510-745-1464,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 12:00 PM - 6:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Union City Library,Union City,510-745-1464,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 12:00 PM - 6:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Union City Library,Union City,510-745-1464,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 12:00 PM - 6:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Union City Library,Union City,510-745-1464,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 12:00 PM - 6:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.588868,-122.027597
Alameda County Library Foundation,2450 Stevenson Blvd,Fremont,CA,94538,510-745-1500,aclibrary.org,Ben Gomberg,Library Logistics Division Director,ask@aclibrary.libanswers.com,Business,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,,,In-Person,,Alameda County Library Foundation,Fremont,510-745-1500,"Monday 8:30 AM - 5:00 PM, Tuesday 8:30 AM - 5:00 PM, Wednesday 8:30 AM - 5:00 PM, Thursday 8:30 AM - 5:00 PM, Friday 8:30 AM - 5:00 PM",aclibrary.org,Alameda County Library Foundation,Fremont,510-745-1500,"Monday 8:30 AM - 5:00 PM, Tuesday 8:30 AM - 5:00 PM, Wednesday 8:30 AM - 5:00 PM, Thursday 8:30 AM - 5:00 PM, Friday 8:30 AM - 5:00 PM",aclibrary.org,Alameda County Library Foundation,Fremont,510-745-1500,"Monday 8:30 AM - 5:00 PM, Tuesday 8:30 AM - 5:00 PM, Wednesday 8:30 AM - 5:00 PM, Thursday 8:30 AM - 5:00 PM, Friday 8:30 AM - 5:00 PM",aclibrary.org,Alameda County Library Foundation,Fremont,510-745-1500,"Monday 8:30 AM - 5:00 PM, Tuesday 8:30 AM - 5:00 PM, Wednesday 8:30 AM - 5:00 PM, Thursday 8:30 AM - 5:00 PM, Friday 8:30 AM - 5:00 PM",aclibrary.org,Alameda County Library Foundation,Fremont,510-745-1500,"Monday 8:30 AM - 5:00 PM, Tuesday 8:30 AM - 5:00 PM, Wednesday 8:30 AM - 5:00 PM, Thursday 8:30 AM - 5:00 PM, Friday 8:30 AM - 5:00 PM",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.551064,-121.971493
Alameda Free Library - Bay Farm Island Library,3221 Mecartney Rd.,Alameda,CA,94502,510-747-7777,https://alamedafree.org,Michael Eitner,Library Director,refdesk@alamedaca.gov,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Technical support, Free/Low-cost hotspots, Public Wi-Fi, Online educational resources",City-wide or across multiple cities,Alameda,,In-Person,,Bay Farm Island Library,Alameda,510-747-7787,"Monday 10:00 AM - 5:00 PM, Thursday 10:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM",alamedafree.org,Bay Farm Island Library,Alameda,510-747-7787,"Monday 10:00 AM - 5:00 PM, Thursday 10:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM",alamedafree.org,Bay Farm Island Library,Alameda,510-747-7787,"Monday 10:00 AM - 5:00 PM, Thursday 10:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM",alamedafree.org,Bay Farm Island Library,Alameda,510-747-7787,"Monday 10:00 AM - 5:00 PM, Thursday 10:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM",alamedafree.org,Bay Farm Island Library,Alameda,510-747-7787,"Monday 10:00 AM - 5:00 PM, Thursday 10:00 AM - 5:00 PM, Saturday 9:00 AM - 5:00 PM",alamedafree.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Ethnic or Minority Communities",,,No. Our services are offered free of cost.,12/23/25 16:11,37.736927,-122.241856
Alameda Free Library - Main Library,1550 Oak St.,Alameda,CA,94501,510-747-7777,https://alamedafree.org,Michael Eitner,Library Director,refdesk@alamedaca.gov,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Technical support, Free/Low-cost hotspots, Public Wi-Fi, Online educational resources",City-wide or across multiple cities,Alameda,,In-Person,,Main Library,Alameda,510-747-7777,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Sunday 12:00 PM - 5:00 PM",https://alamedafree.org,Main Library,Alameda,510-747-7777,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Sunday 12:00 PM - 5:00 PM",https://alamedafree.org,Main Library,Alameda,510-747-7777,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Sunday 12:00 PM - 5:00 PM",https://alamedafree.org,Main Library,Alameda,510-747-7777,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Sunday 12:00 PM - 5:00 PM",https://alamedafree.org,Main Library,Alameda,510-747-7777,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Sunday 12:00 PM - 5:00 PM",https://alamedafree.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Ethnic or Minority Communities",,,No. Our services are offered free of cost.,12/23/25 16:11,37.76677,-122.242391
Alameda Free Library - West End Library,788 Santa Clara Ave,Alameda,CA,94501,510-747-7777,https://alamedafree.org,Michael Eitner,Library Director,refdesk@alamedaca.gov,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Technical support, Free/Low-cost hotspots, Public Wi-Fi, Online educational resources",City-wide or across multiple cities,Alameda,,In-Person,,West End Library,Alameda,510-747-7767,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 9:00 AM - 5:00 PM",alamedafree.org,West End Library,Alameda,510-747-7767,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 9:00 AM - 5:00 PM",alamedafree.org,West End Library,Alameda,510-747-7767,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 9:00 AM - 5:00 PM",alamedafree.org,West End Library,Alameda,510-747-7767,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 9:00 AM - 5:00 PM",alamedafree.org,West End Library,Alameda,510-747-7767,"Monday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 9:00 AM - 5:00 PM",alamedafree.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Ethnic or Minority Communities",,,No. Our services are offered free of cost.,12/23/25 16:11,37.773075,-122.273015
Alliance for a Better Community,201 S. Figueroa Street,Los Angeles,CA,90012,213-267-2144,https://afabc.org,Erika Cervantes,Director of Policy & Advocacy,erika@afabc.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Digital literacy & skills training,County-wide or across multiple counties,Los Angeles,,In-Person,,Alliance for a Better Community,Los Angeles,213-267-2144,,https://afabc.org,Alliance for a Better Community,Los Angeles,213-267-2144,,https://afabc.org,Alliance for a Better Community,Los Angeles,213-267-2144,,https://afabc.org,Alliance for a Better Community,Los Angeles,213-267-2144,,https://afabc.org,Alliance for a Better Community,Los Angeles,213-267-2144,,https://afabc.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/16/25 13:34,34.056435,-118.253575
AltaMed Health Services,Virtual,,,,888-499-9303,https://www.altamed.org/,Anastasio Hinaris,Telehealth Program Analyst,ahinaris@altamed.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Online educational resources,County-wide or across multiple counties,"Los Angeles, Orange",,"Virtually, In-Person",https://www.altamed.org/,AltaMed Health Services,Commerce,888-499-9303,,https://www.altamed.org/,AltaMed Health Services,Commerce,888-499-9303,,https://www.altamed.org/,AltaMed Health Services,Commerce,888-499-9303,,https://www.altamed.org/,AltaMed Health Services,Commerce,888-499-9303,,https://www.altamed.org/,AltaMed Health Services,Commerce,888-499-9303,,https://www.altamed.org/,Yes. We charge a fee for our services and itâ€™s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,,,1/8/26 13:45,,
Alzheimer's Association of Northern CA & Northern NV,Virtual,,,,408-372-9970,https://alz.org/norcal,Vanessa Souza,"Senior Manager, Community Engagement",vsouza@alz.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Online educational resources",Statewide,"Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Imperial, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba",Inyo,"Virtually, In-Person",https://alz.org/norcal,In person services are provided at community locations offered by partner organizations,,,,https://alz.org/norcal,In person services are provided at community locations offered by partner organizations,,,,https://alz.org/norcal,In person services are provided at community locations offered by partner organizations,,,,https://alz.org/norcal,In person services are provided at community locations offered by partner organizations,,,,https://alz.org/norcal,In person services are provided at community locations offered by partner organizations,,,,https://alz.org/norcal,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/22/25 9:56,,
Ameelio Inc,Virtual,,,,412-520-5561,https://ameelio.org,April Feng,CEO,april@ameelio.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",Statewide,"Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Imperial, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba",Inyo,Virtually,https://app.ameelio.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Ethnic or Minority Communities",,"Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/7/26 19:16,,
Ameelio Inc - San Francisco County Jail,425 7th St,San Francisco,CA,94103,412-520-5561,https://ameelio.org,April Feng,CEO,april@ameelio.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",County-wide or across multiple counties,San Francisco,,In-Person,,San Francisco County Jail,San Francisco,415-553-1430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,415-553-1430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,415-553-1430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,415-553-1430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,415-553-1430,,https://sfsheriff.com/,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Ethnic or Minority Communities",,"Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/7/26 19:16,37.774949,-122.40522
"American GI Forum Education Foundation of Santa Maria, CA",Virtual,,,,805-478-6230,https://www.agifedfoundation.org,Helen Galvan,Executive Director,helen.galvan@gmail.com,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s)",County-wide or across multiple counties,"Riverside, San Luis Obispo, Santa Barbara, Stanislaus, Ventura",,"Virtually, In-Person",https://www.agifedfoundation.org,,Santa Maria,805-598-2130,9:00 am to 6:00 pm,,,Santa Maria,805-598-2130,9:00 am to 6:00 pm,,,Santa Maria,805-598-2130,9:00 am to 6:00 pm,,,Santa Maria,805-598-2130,9:00 am to 6:00 pm,,,Santa Maria,805-598-2130,9:00 am to 6:00 pm,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/4/25 16:38,,
AnewVista Community Services,Virtual,,,,650-300-0688,https://ANVCS.org,Shalini Gupta,Community Engagement Director,info@anvcs.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Online educational resources",County-wide or across multiple counties,"Contra Costa, Sacramento, San Francisco, San Mateo, Santa Clara",,"Virtually, In-Person",https://ANVCS.org/classes,At Various SeniorCenters,,,,,At Various SeniorCenters,,,,,At Various SeniorCenters,,,,,At Various SeniorCenters,,,,,At Various SeniorCenters,,,,,No. Our services are offered free of cost.,No,,"Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/23/25 10:07,,
Area 1 Agency on Aging,1765 Northcrest Drive,Crescent City,CA,95531,707-324-0623,https://www.a1aa.org,Abby Holloway,Social Services Coordinator,aholloway@a1aa.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital literacy & skills training, Technical support, Public Wi-Fi",County-wide or across multiple counties,Del Norte,,In-Person,,,Crescent City,,,,,Crescent City,,,,,Crescent City,,,,,Crescent City,,,,,Crescent City,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,12/11/25 14:26,41.777212,-124.19894
Area 1 Agency on Aging - A1AA,333 J Street,Eureka,CA,95501,707-324-0623,https://www.a1aa.org,Abby Holloway,Social Services Coordinator,aholloway@a1aa.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital literacy & skills training, Technical support, Public Wi-Fi",County-wide or across multiple counties,Del Norte,,In-Person,,A1AA,Eureka,,,,A1AA,Eureka,,,,A1AA,Eureka,,,,A1AA,Eureka,,,,A1AA,Eureka,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,12/11/25 14:26,40.803627,-124.161739
